date,home_team,away_team,tournament,elo_diff,fifa_rank_diff,avg_goals_scored_last5,avg_goals_conceded_last5,form_points,wc_experience,is_neutral,h2h_win_rate,result
1990-03-08,Algeria,Egypt,African Cup of Nations,68.25,9.0,3.0,-0.4,6.0,0.0,0,0.5,2
1990-03-08,Angola,Zimbabwe,Friendly,-20.0,48.0,-3.0,1.0,0.0,0.0,1,0.5,0
1990-03-08,Nigeria,Ivory Coast,African Cup of Nations,18.56,-91.5,0.25,-0.1,0.0,0.0,1,0.5,2
1990-03-09,Kuwait,United Arab Emirates,Gulf Cup,12.2,12.0,0.4,-0.4,5.0,0.0,0,0.5,2
1990-03-09,Zambia,Senegal,African Cup of Nations,3.22,-19.0,0.0,-0.25,2.0,0.0,1,0.5,1
1990-03-09,Cameroon,Kenya,African Cup of Nations,-21.67,-54.0,-0.5,0.5,-4.0,0.0,1,0.5,2
1990-03-10,Angola,Lesotho,Friendly,-9.42,-40.0,-0.5,-2.0,0.0,0.0,1,0.5,2
1990-03-10,Mozambique,Zimbabwe,Friendly,-9.42,53.0,-1.0,0.5,0.0,0.0,0,0.5,2
1990-03-10,United States,Finland,Friendly,-21.2,60.5,-0.25,1.0,1.0,0.0,0,0.5,2
1990-03-11,Mozambique,Lesotho,Friendly,40.54,-35.0,1.5,-2.5,0.0,0.0,0,0.5,2
1990-03-12,Algeria,Senegal,African Cup of Nations,31.72,-21.0,1.8,0.2,4.0,0.0,0,0.5,2
1990-03-12,Nigeria,Zambia,African Cup of Nations,-2.38,-19.0,0.5333,1.2,-1.0,0.0,1,0.5,2
1990-03-15,Senegal,Zambia,African Cup of Nations,-1.76,19.0,0.3,0.1,-2.0,0.0,1,0.5,0
1990-03-16,Algeria,Nigeria,African Cup of Nations,29.89,17.0,1.2,-0.8,3.0,0.0,0,0.5,2
1990-03-16,Jamaica,Barbados,Friendly,0.0,-47.0,0.0,0.0,0.0,0.0,0,0.5,0
1990-03-18,Jamaica,Barbados,Friendly,-20.0,-47.0,-1.0,1.0,0.0,0.0,0,0.5,2
1990-03-20,Hungary,United States,Friendly,1.12,-68.5,-1.0,-1.4,-1.0,0.0,0,0.5,2
1990-03-20,Mexico,Uruguay,Friendly,-15.0,9.0,0.0,0.0,-6.0,0.0,1,0.5,2
1990-03-21,Basque Country,Romania,Friendly,-0.57,93.5,0.0,0.0,0.0,0.0,0,0.5,1
1990-03-24,Saint Martin,British Virgin Islands,CFU Caribbean Cup qualification,0.0,-73.5,0.0,0.0,0.0,0.0,0,0.5,2
1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,Friendly,0.0,-4.5,0.0,0.0,0.0,0.0,0,0.5,2
1990-03-24,Sint Maarten,Cayman Islands,CFU Caribbean Cup qualification,0.0,-51.5,0.0,0.0,0.0,0.0,1,0.5,1
1990-03-27,Northern Ireland,Norway,Friendly,-12.05,29.0,-2.0,-1.5,-4.0,0.0,0,0.5,0
1990-03-28,Egypt,Romania,Friendly,-36.08,10.0,-0.8,0.2,0.0,0.0,0,0.5,0
1990-03-28,England,Brazil,Friendly,0.0,2.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-03-28,German DR,United States,Friendly,11.37,0.0,0.0,0.6,-1.0,0.0,0,0.5,2
1990-03-28,Greece,Israel,Friendly,10.0,-33.0,2.0,0.0,0.0,0.0,0,0.5,2
1990-03-28,Hungary,France,Friendly,-19.18,17.0,0.0,-0.3333,0.0,0.0,0,0.5,0
1990-03-28,Republic of Ireland,Wales,Friendly,0.0,-22.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-03-28,Luxembourg,Iceland,Friendly,0.0,57.0,0.0,0.0,0.0,0.0,0,0.5,0
1990-03-28,Poland,Yugoslavia,Friendly,18.3,-9.0,1.3333,0.3333,0.0,0.0,0,0.5,1
1990-03-28,Russia,Netherlands,Friendly,21.66,1.0,1.6667,0.6667,4.0,0.0,0,0.5,2
1990-03-28,Scotland,Argentina,Friendly,10.0,13.0,0.0,-2.0,0.0,0.0,0,0.5,2
1990-03-28,Spain,Austria,Friendly,10.02,-19.0,1.0,0.0,0.0,0.0,0,0.5,0
1990-03-31,Guernsey,Alderney,Muratti Vase,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,2
1990-03-31,Switzerland,Italy,Friendly,0.0,10.0,0.0,0.0,0.0,0.0,0,0.5,0
1990-04-01,Zambia,Tanzania,Friendly,14.27,-48.0,-0.4,-0.2667,10.0,0.0,0,0.5,2
1990-04-03,Bermuda,Iceland,Friendly,-20.36,12.0,-2.0,0.0,0.0,0.0,0,0.5,0
1990-04-03,Switzerland,Romania,Friendly,-19.52,1.0,-1.6667,0.0,0.0,0.0,0,0.5,2
1990-04-04,Czechoslovakia,Egypt,Friendly,34.49,-3.0,-0.4,-0.8,0.0,0.0,0,0.5,0
1990-04-08,United States,Iceland,Friendly,-40.18,58.5,-1.8,1.3,1.0,0.0,0,0.5,2
1990-04-11,Algeria,Sweden,Friendly,75.36,26.0,1.6,-0.2667,15.0,0.0,0,0.5,1
1990-04-11,Austria,Hungary,Friendly,9.75,-2.0,0.0,-0.5,0.0,0.0,0,0.5,2
1990-04-11,Denmark,Turkey,Friendly,-0.0,-33.0,0.5,0.5,0.0,0.0,0,0.5,2
1990-04-11,German DR,Egypt,Friendly,43.46,83.5,1.0667,0.2,0.0,0.0,0,0.5,2
1990-04-14,Bermuda,Antigua and Barbuda,CFU Caribbean Cup qualification,-9.77,-51.0,-1.0,-0.5,0.0,0.0,0,0.5,1
1990-04-15,Barbados,Saint Lucia,CFU Caribbean Cup qualification,-0.58,9.5,0.5,0.5,0.0,0.0,0,0.5,2
1990-04-16,Bermuda,Antigua and Barbuda,Friendly,-9.07,-51.0,-0.8333,-0.1667,0.0,0.0,0,0.5,2
1990-04-17,Mexico,Colombia,Friendly,32.48,-10.0,1.6667,-0.5,-2.0,0.0,1,0.5,2
